userId,surveyType,Anger-Ag,Wanting-Dr,Dread-Ax,Sad-S,Easygoing-R,Grossed-Out-Dg,Happy-H,Terror-F,Rage-Ag,Grief-S,Nausea-Dg,Anxiety-Ax,Chilled-Out-R,Desire-Dr,Nervous-Ax,Lonely-S,Scared-F,Mad-Ag,Satisfaction-H,Sickened-Dg,Empty-S,Craving-Dr,Panic-F,Longing-Dr,Calm-R,Fear-F,Relaxation-R,Revulsion-Dg,Worry-Ax,Enjoyment-H,Pissed-Off-Ag,Linking-H,username,userGroup,userLoginTime,surveyTime
1d9q7kk2p9pui,deq,1,2,2,1,6,1,6,1,1,1,1,1,5,2,1,2,1,1,6,1,1,3,1,1,5,1,4,1,2,5,1,5,some37463,FrankKeyboard,2021-01-19-01-41-33,2021-01-21-21-51-35
1d9q7kk3o9ict,deq,1,1,3,1,5,2,5,2,1,1,1,4,4,2,3,1,2,1,2,1,1,1,4,1,4,3,3,2,2,4,1,2,final08746,Frank,2021-01-19-18-00-03,2021-01-22-20-07-40
1d9q7kjy6qi7s,deq,3,4,3,4,3,1,4,1,2,3,1,4,3,4,5,Quite a bit,3,2,3,1,2,1,2,3,2,3,2,1,3,2,3,4,farm54928,FrankKeyboard,2021-01-15-21-50-45,2021-01-22-20-29-46
1d9q7kk3kodkf,deq,3,4,4,3,2,1,2,1,1,3,1,5,2,2,3,1,2,2,2,1,2,3,2,1,2,2,2,1,4,2,2,2,anything52840,Frank,2021-01-19-16-23-49,2021-01-22-20-32-06
dm5a7kk84zie2,deq,2,5,2,3,2,1,3,1,1,2,1,2,2,2,3,4,2,1,2,2,4,4,2,3,2,3,1,2,4,2,3,2,board14485,Keyboard,2021-01-22-21-01-22,2021-01-22-21-10-36
1d9q7kk1lzj2d,deq,1,3,4,3,1,1,2,3,1,2,2,,1,4,5,3,2,1,1,1,2,3,1,4,2,4,2,1,3,2,1,2,examine85198,FrankKeyboard,2021-01-18-07-21-41,2021-01-22-21-47-12
dm5a7kk7zxotc,deq,2,1,1,1,4,1,4,1,1,1,1,2,4,2,2,1,1,2,1,1,2,1,1,1,3,1,4,1,1,3,1,3,flower27957,Keyboard,2021-01-22-18-36-41,2021-01-22-21-47-38
1d9q7kk27xl5s,deq,1,1,1,1,6,1,7,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,4,1,5,1,1,7,1,6,wild73075,FrankKeyboard,2021-01-18-17-38-00,2021-01-22-21-49-22
1d9q7kk2dwzfg,deq,2,2,1,2,4,1,4,1,1,1,1,2,3,2,2,1,1,1,2,1,1,2,2,2,4,1,2,1,2,3,1,2,officer79649,FrankKeyboard,2021-01-18-20-19-14,2021-01-22-21-58-51
1d9q7kk1lzj2d,deq,2,3,3,5,1,1,3,1,2,3,1,4,1,2,4,Quite a bit,2,3,1,2,4,4,1,5,2,3,1,1,4,4,2,2,examine85198,FrankKeyboard,2021-01-18-07-21-41,2021-01-23-21-47-38
