Anger,Sadness,Fear,Joy,Disgust,userId,username,userGroup,userLoginTime,inputTime,inputText
0.00876354,0.002690331,0.002435832,0.020545609,0.010067219,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-25-21-00-00,days is definitely enough for me at the moment
,,,,,,,,,,
0.004648363,0.001050752,0.001666709,0.02264933,0.006903089,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-25-21-00-00,It will just be a matter of how my money holds
,,,,,,,,,,
0.032917025,0.006472035,0.043356512,0.142029078,0.035996929,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-25-21-00-00,thanks yep its exciting
,,,,,,,,,,
0.006345238,0.001603145,0.015581363,0.093238252,0.015667894,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-25-21-00-00,That sounds great
,,,,,,,,,,
0.078851858,0.177776166,0.249466308,0.000428602,0.071762955,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-19-11-00-00,Quite unwell after food poisoning last night
,,,,,,,,,,
0.040936279,0.139161575,0.100862991,0,0.032462542,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-19-17-00-00,Awoke unwell rested with until carer noon
,,,,,,,,,,
0.032949376,0.059389833,0.079075431,0.027978005,0.028102947,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-20-11-00-00,Quite morning with hub and miss E bathing caffeine
,,,,,,,,,,
0.081974667,0.13069618,0.194704029,0.002531326,0.062260878,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-20-17-00-00,Home housework family lunch grill sinus with mess
,,,,,,,,,,
0.000104519,0,0,0.049658077,0.00118455,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-21-14-00-00,from yday late rising shop with j E
,,,,,,,,,,
0.099756201,0.075898152,0.145537256,0.033821484,0.081969877,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-21-22-00-00,Family day hunting grocery shopping and loads of Rain and constant storm warnings without storms
,,,,,,,,,,
0.035100243,0.006343628,0.022786642,0.025318505,0.018103818,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-21-22-00-00,will tomorrow be a repeat as forecasted
,,,,,,,,,,
0.089261259,0.08868584,0.149762118,0.014736706,0.073875607,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-22-11-00-00,Crazy time testing cleaner phone calls non stop rain
,,,,,,,,,,
0.043351213,0.076037392,0.06402229,0.022989667,0.043302295,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-23-09-00-00,Breakfast rash E into cab plodding MASSIVE RAIN
,,,,,,,,,,
0.034286189,0.01587664,0.087089571,0.033608774,0.037478278,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-23-17-00-00,Crazy woke late breakfast lunches rush to aqua Jeff being insane with karaoke
,,,,,,,,,,
0.05173723,0.00452009,0.022065419,0.102644382,0.027977887,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-23-21-00-00,Aqua AM Jeff SANG outing with training collecting Easter Gifts conversation re Easter whole Dinner fought
,,,,,,,,,,
0.143666273,0.123615727,0.167495238,0.004230753,0.111928332,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-25-09-00-00,s yday discovery s broke there expenses commitments Es teeth being to this blowing our situation a mess
,,,,,,,,,,
0.005706085,0.002095514,0.010584647,0.047374273,0.008471145,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-25-13-00-00,not communicating still after talked me threw everything stressed over the but better than up today
,,,,,,,,,,
0.000566288,0.000771964,0.005674503,0.076634715,0.006513434,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-20-02-00-00,Broccoli is my favorite food grinning face with big eyes
,,,,,,,,,,
0.008286679,0.002797555,0.025714665,0.052691088,0.019937562,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-17-00-00,If you re bored I could totally do with some help at school grinning face with big eyes
,,,,,,,,,,
0.071600799,0.016249664,0.054209991,0.009815904,0.066431498,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-17-00-00,Are you using thingy over the next grinning face with big eyes
,,,,,,,,,,
0.025156075,0.008352856,0.038157492,0.019479287,0.027528797,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-17-00-00,Unless you come set up post office whilst I
,,,,,,,,,,
0.002699133,0.003277865,0.0245895,0.067553577,0.01850892,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-17-00-00,I am at now grinning face with big eyes
,,,,,,,,,,
0.013501999,0.003470473,0.031736337,0.019751936,0.029127278,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-17-00-00,Feel ya grinning face with big eyes
,,,,,,,,,,
0.02501554,0.00212556,0.015833027,0.050333349,0.015974287,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-17-00-00,Then I will tidy and set up post
,,,,,,,,,,
0.053376474,0.050483953,0.073169184,0.015418603,0.030829409,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-17-00-00,Need to set up post office
,,,,,,,,,,
